player_id,player_name,games,ppg,ppg_tile,orpg,orpg_tile,drpg,drpg_tile,trpg,trpg_tile,apg,apg_tile,spg,spg_tile,bpg,bpg_tile,3pm,3pm_tile,3pa,3pct,ftm,ftm_tile,fta,fta_tile,ftpct
6,Jared Perrine,22,24.3,93,4.6,99,6.5,78,11.1,92,4.5,93,1.7,88,1.3,93,1.4,59,3.5,0.4,4.7,98,7,98,0.671
12,Kurt Knepsheild,57,17.9,76,3.5,93,6.5,78,10,85,1.8,43,1.1,61,0.9,81,0.2,21,0.8,0.25,1.6,66,2.9,72,0.552
14,Tim Brady,13,10,40,3.3,91,6.6,79,9.9,84,1.8,43,0.8,38,0.3,43,0,10,0.2,0,0.8,43,2.1,58,0.381
15,Dart Danier,11,2.5,4,0.9,23,1.1,0,2,2,0.7,6,0.8,38,0,7,0.2,21,0.8,0.25,0,5,0,3,NaN
17,Cheese,128,9.2,35,0.9,23,3.6,31,4.5,26,3,75,0.8,38,0.2,34,0.4,30,1.2,0.333,0.7,38,1,28,0.7
22,Garrett Tingle,29,8.6,33,2.2,71,4.6,51,6.9,58,1.6,34,0.7,30,0.7,74,0,10,0.2,0,0.5,29,1.4,39,0.357
26,Kevin Scott,8,9.6,37,0.2,1,3.2,23,3.5,13,3.1,77,0.6,24,0.1,21,1.5,62,5.8,0.259,0.1,11,0.6,18,0.167
30,Tim HINKEL,22,5,13,1,27,4,42,5.1,36,2,49,1.1,61,0.2,34,0.2,21,0.7,0.286,0.3,18,0.5,15,0.6
53,Joe Meldrim,10,4.8,11,0.6,10,3,20,3.6,14,1.6,34,0.4,12,0,7,0.4,30,1.8,0.222,0.4,23,0.8,24,0.5
60,Raj Singh,38,8.4,30,3.3,91,4,42,7.3,65,2.3,57,1.2,69,0.6,68,0.1,15,0.1,1,0.6,35,1.2,33,0.5
62,Dan Salazar,7,12.1,49,0.9,23,3.3,25,4.1,20,1.9,46,1.1,61,0.1,21,2.1,77,9.3,0.226,0.6,35,1.3,35,0.462
66,Serge Gottschalk,29,2.6,4,0.8,19,1.7,3,2.5,4,0.7,6,0.3,7,0.1,21,0.1,15,0.7,0.143,0.1,11,0.2,8,0.5
74,Sean O'Callaghan,20,14.3,59,1.6,54,6.3,76,8,71,5.8,98,2.5,97,0.4,54,1.9,72,5.8,0.328,1.6,66,2.4,64,0.667
128,Matt Filosa,12,16.5,70,3.6,94,10.1,98,13.7,98,2.9,73,0.6,24,0.7,74,0.3,26,1,0.3,3.2,92,5.4,93,0.593
166,Matt Kaplan,241,14.8,61,1.2,38,4.8,56,6,44,4,89,1.7,88,0.6,68,2.7,86,7.6,0.355,1.8,72,2.7,69,0.667
193,Jon Mazzone,17,23.1,90,2.2,71,10.8,99,13.1,98,5.1,95,1.4,79,1,86,3.6,94,9.7,0.371,2.9,89,4.3,87,0.674
195,Fred Bermont,11,8.8,33,2.1,68,4,42,6.1,47,3.1,77,0.8,38,0.5,64,0.3,26,1.8,0.167,1.1,53,1.5,42,0.733
201,Michael Manning,29,7.2,22,0.3,3,2.5,13,2.8,7,0.8,9,0.4,12,0.1,21,1.2,55,3.4,0.353,0.6,35,0.8,24,0.75
210,Jeff Hall,10,26.7,96,2.9,86,7,83,9.9,84,5,95,1.5,84,1.5,96,2.8,88,7.9,0.354,2.7,86,4.4,88,0.614
232,Tom Covert,95,5.4,16,1.9,62,4.1,44,6,44,0.8,9,0.4,12,0.5,64,0.1,15,0.1,1,0.3,18,0.7,20,0.429
291,Ed Finn,7,15,62,0.4,5,4,42,4.4,24,2.7,70,0.9,47,0.1,21,0,10,0.9,0,4.6,98,5.7,95,0.807
364,Ramon Penrose,7,14.9,62,1.6,54,2.4,11,4,19,2.6,66,1.6,86,1.1,89,2.7,86,9.1,0.297,1.6,66,2.1,58,0.762
370,Chris Hunter,7,13.7,56,1.1,32,7,83,8.1,72,4.1,90,1.7,88,0.1,21,0.7,41,4.3,0.163,0.4,23,1.3,35,0.308
372,Joe Malcolm,9,15.8,66,2.8,84,9.4,97,12.2,96,1.6,34,0.9,47,0.4,54,1.4,59,8,0.175,0.8,43,1.1,31,0.727
378,Shane O'Donnell,9,16.1,69,4.4,98,11.8,100,16.2,100,3.4,83,0.9,47,0.2,34,2.4,82,6.3,0.381,1.8,72,2.4,64,0.75
403,Patrick Rooney,23,11.3,45,2.2,71,2.4,11,4.7,31,2.3,57,2,96,0.5,64,0,10,0.3,0,1,50,1.9,53,0.526
443,Chris Machado,21,3.6,8,0.6,10,2.6,16,3.1,9,1.5,32,0.5,19,0.3,43,0.5,33,2.1,0.238,0.1,11,0.3,10,0.333
486,James Aikman,7,3.4,7,2.4,76,3.9,38,6.3,50,1.9,46,0.4,12,1.1,89,0,10,0,NaN,0.3,18,0.9,26,0.333
526,Ian Tosti,25,16.4,69,0.5,6,4,42,4.5,26,3.1,77,1,53,0.4,54,4.7,98,12,0.392,0.9,45,1,28,0.9
544,Jason Tibbetts,79,14.9,62,1.7,56,4.9,57,6.6,54,2,49,1.2,69,1.6,96,0.9,47,3.1,0.29,1.8,72,3,74,0.6
550,Sean Flynn,11,7.6,25,0.6,10,2.8,18,3.5,13,1.5,32,0.6,24,0.2,34,2,74,5.4,0.37,0.6,35,0.9,26,0.667
566,Andrew Ray,46,17.9,76,2.2,71,6,73,8.2,74,1.7,38,0.5,19,0.5,64,0.9,47,2.9,0.31,2.4,83,3.3,78,0.727
611,Mike Kuzdeba,157,8.2,29,1.5,49,5.4,65,7,61,4,89,0.8,38,0.4,54,0.4,30,1.1,0.364,1,50,2,55,0.5
621,Paul Reeves,65,14,57,1,27,4.4,48,5.4,38,3.3,80,1.2,69,0.6,68,1.7,69,4.3,0.395,1,50,1.7,47,0.588
627,Pete Wilson,143,17.2,73,2.1,68,8.2,91,10.2,87,4,89,1.2,69,0.7,74,2.2,78,6.1,0.361,1.9,76,3.4,80,0.559
646,Billy Buckley,7,15.3,65,0.3,3,2.6,16,2.9,8,1.1,18,0.4,12,0.3,43,4.7,98,9.6,0.49,0.6,35,0.6,18,1
780,Paul Zermani,6,17.2,73,1,27,2.3,9,3.3,10,1.3,22,0.5,19,0,7,4,96,11,0.364,0.5,29,0.5,15,1
888,Brian Fabry,10,1.1,0,0.5,6,1.1,0,1.6,0,1.6,34,0.1,1,0.1,21,0.1,15,0.3,0.333,0,5,0,3,NaN
943,Brian Mariani,18,12.4,50,1.3,43,3.6,31,4.9,34,1.4,27,0.8,38,0.1,21,2.8,88,8.5,0.329,0.5,29,0.7,20,0.714
960,Tom Kahana,98,17.7,75,0.7,15,4,42,4.6,28,4.1,90,1.4,79,0.3,43,3.1,90,8.6,0.36,1,50,1.5,42,0.667
972,Kevin Ostrander,6,14.7,61,2.2,71,7.2,85,9.3,82,4.2,91,1.2,69,0.7,74,0.5,33,1.3,0.385,1.8,72,5.5,94,0.327
1073,Chris Kerr,94,20.5,84,2.2,71,6.5,78,8.7,77,1.4,27,0.9,47,1.2,93,2.1,77,6.5,0.323,2.7,86,4.1,86,0.659
1084,Ken Cleary,7,4,9,1.3,43,3.1,22,4.4,24,3.4,83,1.1,61,0,7,0.3,26,1,0.3,0,5,0,3,NaN
1103,Roger Lau,18,24.6,94,2.1,68,4.2,45,6.3,50,5.4,97,1.8,91,0.6,68,2.6,84,8.6,0.302,2.6,86,3.7,83,0.703
1105,Tim Spinney,27,10.5,41,1.5,49,9.3,96,10.8,91,3,75,1.3,73,0.4,54,1.2,55,4.3,0.279,0.7,38,1.2,33,0.583
1106,Yavor Nechev,19,15.7,66,0.5,6,2.2,8,2.7,6,3.2,79,1.1,61,0.1,21,3.2,91,9.1,0.352,1,50,1.3,35,0.769
1161,Jamil Ball,8,7.9,27,1.2,38,4.6,51,5.9,43,3.8,88,1.4,79,0.5,64,1.1,53,3.1,0.355,1,50,1.9,53,0.526
1168,Billy Fratelli,10,13.4,54,1.4,45,4.8,56,6.2,49,6,99,1.9,93,1,86,0.6,38,4.5,0.133,1.4,61,3.1,75,0.452
1193,Jon Press,19,24.6,94,2.4,76,6.1,74,8.4,76,3.2,79,1,53,1.1,89,2.7,86,6.5,0.415,3,90,4.3,87,0.698
1318,Vladi Nechev,264,18.7,79,0.6,10,4.1,44,4.7,31,4.6,94,0.9,47,0.2,34,3.3,91,9,0.367,2.8,88,3.5,80,0.8
1383,Carl Clary,7,20.3,84,2.6,80,6.1,74,8.7,77,3,75,1,53,0.7,74,1.7,69,6.1,0.279,2.6,86,3.7,83,0.703
1392,Hayden Fredrick-Clarke,7,12.1,49,3.1,89,5.1,61,8.3,75,0.9,12,1.1,61,0.1,21,0.7,41,2.4,0.292,1.6,66,3.3,78,0.485
1457,Matt Rollinson,8,6,17,0.1,0,3.8,35,3.9,18,1,15,0.2,3,0.1,21,0.4,30,1.1,0.364,0.1,11,0.2,8,0.5
1464,Sean  Murray,8,16.1,69,3.1,89,8.5,93,11.6,94,5.2,96,1.4,79,0.9,81,1,51,4.1,0.244,3.6,95,4.6,90,0.783
1507,Brian Gelow,21,7.4,23,1.5,49,5,59,6.5,53,1.8,43,0.9,47,0.3,43,1,51,2.7,0.37,0.5,29,0.8,24,0.625
1539,Chris Maciejczak,118,24.8,94,1.5,49,8.3,92,9.8,84,2.7,70,1.4,79,0.7,74,4.8,98,13.4,0.358,2.2,80,3.8,84,0.579
1540,Zack Toth,13,6.1,18,3.2,90,3.6,31,6.8,57,2.4,61,1.1,61,0.7,74,0.2,21,0.2,1,0.5,29,1.7,47,0.294
1546,Tim Burke,17,4.1,10,1.2,38,2.6,16,3.8,16,1.2,20,0.5,19,0.3,43,0.3,26,1,0.3,0.4,23,0.6,18,0.667
1547,Tim O'Keefe,15,25.3,94,1.7,56,5,59,6.7,55,2.3,57,0.5,19,0.3,43,3.9,96,9,0.433,2.2,80,3.1,75,0.71
1556,Pat Lawson,6,7.8,26,1.2,38,1.8,4,3,8,1.2,20,1.2,69,0.7,74,0.7,41,3.3,0.212,1.2,56,1.3,35,0.923
1609,Dion Provost,6,21.8,88,3.5,93,6.7,81,10.2,87,1.5,32,2.7,98,0.2,34,3,89,9.7,0.309,3.2,92,4.8,92,0.667
1628,Jesse Wheeler,6,1.5,1,0.7,15,3,20,3.7,14,0.2,0,0,1,0.5,64,0.2,21,0.3,0.667,0.3,18,0.3,10,1
1629,Chanel Wright,200,15.6,66,1.5,49,4.9,57,6.4,52,2.9,73,1.4,79,0.3,43,2,74,6.6,0.303,1.6,66,2.7,69,0.593
1656,Damian Ruff,199,10.6,42,0.9,23,4.2,45,5.1,36,2.4,61,1.2,69,0.7,74,2.1,77,6.8,0.309,1.3,59,2.4,64,0.542
1757,Brandon Dorey,52,22.2,88,1.6,54,6.6,79,8.2,74,4.2,91,1.9,93,0.5,64,1.4,59,3.9,0.359,3.3,93,4.5,89,0.733
1809,Dan Macgregor,55,14.6,60,1.6,54,3.4,27,4.9,34,2.7,70,1.1,61,0.2,34,1.1,53,4,0.275,1.3,59,2.5,65,0.52
1811,Christopher Harvey,22,9.9,40,1.9,62,3.6,31,5.5,39,1.4,27,0.8,38,1,86,0.6,38,1.9,0.316,0.5,29,1,28,0.5
1818,Kaif Thompson,11,5.7,16,1.4,45,4,42,5.4,38,1.5,32,0.5,19,1.3,93,0.5,33,2.1,0.238,0.7,38,1.1,31,0.636
1875,Mike Gerrity,87,4.9,12,0.8,19,3.6,31,4.5,26,1.1,18,0.3,7,0.5,64,0.9,47,3.3,0.273,0.1,11,0.2,8,0.5
1881,Terry Henderson,136,23.5,90,2.4,76,9,95,11.4,93,3.6,86,1,53,1.1,89,1.5,62,4.6,0.326,4.7,98,7.1,98,0.662
2012,Kevin Tang,26,9.9,40,0.7,15,1.9,5,2.7,6,1.9,46,1.2,69,0,7,1.6,66,5,0.32,0.8,43,1.1,31,0.727
2016,Bobby Colantonio,19,14.4,60,1.7,56,7.5,86,9.3,82,3.4,83,1.5,84,1.2,93,1.8,70,4.9,0.367,1.2,56,1.5,42,0.8
2019,Ian Kilpatrick,8,29.5,98,3.5,93,8.2,91,11.8,94,5.2,96,0.9,47,0.4,54,2.1,77,6.1,0.344,2.4,83,3.4,80,0.706
2077,Mike Koziol,8,20.8,85,1.2,38,6.4,77,7.6,67,3,75,1,53,0.2,34,3.4,92,10.8,0.315,2.1,79,4.8,92,0.438
2086,Ryan Patendaude,9,14.4,60,2,66,4.1,44,6.1,47,2.4,61,0.9,47,0.6,68,2.4,82,5.1,0.471,0.7,38,0.9,26,0.778
2101,Josh Fincke,8,8.5,32,1.8,59,3.4,27,5.1,36,1.9,46,0.5,19,0.2,34,0,10,0,NaN,1,50,2.1,58,0.476
2105,Billy Durbrow,40,20.6,85,3.6,94,10.1,98,13.7,98,5.4,97,1.7,88,0.8,79,0,10,0,NaN,1.8,72,4.8,92,0.375
2108,Paul Giardina,20,4.6,11,0.8,19,2.5,13,3.3,10,1.6,34,0.6,24,0.2,34,0.2,21,0.7,0.286,0,5,0,3,NaN
2170,Khalid Lakanwal,22,17.4,74,1.2,38,4,42,5.2,37,4.5,93,1.6,86,0.2,34,3.8,95,10.2,0.373,0.8,43,1.4,39,0.571
2180,Pat Fidler,7,24.9,94,2.1,68,8.7,94,10.9,91,3,75,1,53,0.4,54,3,89,7.9,0.38,3.3,93,4.9,92,0.673
2229,David Frazier,19,13.6,55,2.4,76,3.7,33,6.1,47,2.1,53,1.3,73,0.5,64,0.6,38,1.5,0.4,1.8,72,2.7,69,0.667
2253,Mike Cadman,17,9.9,40,1.2,38,4,42,5.2,37,1.2,20,0.5,19,0.2,34,1.7,69,5.1,0.333,0.9,45,1,28,0.9
2254,Mike Fraher,166,10.6,42,1.5,49,4.2,45,5.7,41,1,15,0.3,7,0.2,34,0.2,21,0.5,0.4,0.4,23,0.5,15,0.8
2304,Mario Casal,9,8.2,29,1.2,38,3.7,33,4.9,34,2,49,0.8,38,1,86,1.2,55,5,0.24,0.1,11,0.3,10,0.333
2352,Ronaldo  Vega,8,6.2,19,2,66,4.8,56,6.8,57,1.5,32,1.4,79,0.4,54,0.2,21,2.9,0.069,0.2,15,1.4,39,0.143
2369,Arren Perkins,7,13.6,55,4.3,98,3.4,27,7.7,68,3.3,80,4.6,100,1.1,89,0.3,26,1.3,0.231,0.4,23,1.6,45,0.25
2466,Lee  Eudy,22,11.3,45,4.4,98,6.4,77,10.8,91,1.8,43,0.6,24,1.4,94,0.8,43,2.2,0.364,1.9,76,3,74,0.633
2606,John Carpin,18,16,67,1.6,54,6.7,81,8.2,74,1.8,43,2.2,96,1.1,89,1.7,69,5.1,0.333,1.3,59,2.4,64,0.542
2612,Shane Doyle,10,8.4,30,2.4,76,4.6,51,7,61,2.1,53,0.6,24,0.6,68,0,10,0,NaN,0.8,43,1.4,39,0.571
2656,Brad Mulholland,92,10.3,41,1.3,43,5,59,6.3,50,1.5,32,1.1,61,0.9,81,1.6,66,5,0.32,1.1,53,1.9,53,0.579
2677,Daniel Watson,22,23.7,91,2.3,73,5.3,63,7.6,67,1.5,32,1,53,0.8,79,2.6,84,7.3,0.356,3.7,96,4.7,90,0.787
2717,Noah Spaulding,61,6.4,19,1.3,43,3.8,35,5.1,36,1,15,0.6,24,0.4,54,0.9,47,2.8,0.321,0.5,29,0.8,24,0.625
2788,Jono Edwards,141,15.1,63,1.2,38,5,59,6.2,49,2.8,72,0.7,30,0.1,21,1.6,66,4.5,0.356,1,50,1.7,47,0.588
2819,Tim McCarthy,17,6.6,20,0.9,23,3.5,29,4.4,24,1.2,20,0.4,12,0,7,1.6,66,5.8,0.276,0.1,11,0.4,13,0.25
2823,Adam Kurtzer,29,12,48,3.4,92,4.5,49,7.9,70,2.2,55,1.4,79,0.4,54,0.5,33,1.7,0.294,1.3,59,2.4,64,0.542
2946,Eric Nordstrom,27,15.9,67,3.7,95,6.6,79,10.4,88,1.6,34,0.4,12,0.9,81,0.4,30,1.4,0.286,0.8,43,1.4,39,0.571
2999,Craig Henricksen,48,25.6,95,3.2,90,8.8,94,12,95,2.8,72,1.9,93,1,86,0.9,47,2.4,0.375,3.9,97,5.1,93,0.765
3078,Mike Doe,7,7.3,23,0.3,3,1.4,2,1.7,1,0.4,3,0.7,30,0,7,2.1,77,6.6,0.318,0,5,0,3,NaN
3079,Adam Biehler,24,22.4,89,4,97,8.4,92,12.4,96,3.8,88,1.5,84,0.5,64,0.8,43,2.4,0.333,1.8,72,3.4,80,0.529
3113,Ryan Kelley,7,13.9,57,2.4,76,7.9,89,10.3,87,2.1,53,1.6,86,0.9,81,1.9,72,7,0.271,1.1,53,2.1,58,0.524
3142,Ryan Ouellette,161,18.3,77,1.3,43,6.3,76,7.6,67,2.5,64,0.8,38,0.8,79,3,89,8.1,0.37,1.8,72,2.6,66,0.692
3187,Jonah Mytro,16,24.5,93,2.6,80,9.1,96,11.7,94,4.4,92,1.5,84,0.9,81,1.9,72,4.9,0.388,4.6,98,7.1,98,0.648
3276,Jon Stott,7,7.7,25,1.1,32,6.1,74,7.3,65,2.4,61,0.6,24,1.6,96,0.4,30,1.6,0.25,1.6,66,1.9,53,0.842
3327,Scott Mulholland,145,9.5,37,4,97,7.6,87,11.6,94,2,49,0.7,30,2.2,99,0.4,30,1.1,0.364,1.2,56,2.2,59,0.545
3329,John Mulholland,186,17.1,72,4,97,6.9,82,10.9,91,2.8,72,0.9,47,1.6,96,1.2,55,2.8,0.429,2.5,84,3.6,81,0.694
3331,Brian Sundell,15,5.8,17,2,66,3.9,38,5.9,43,2.3,57,1.4,79,0.7,74,0.3,26,2.3,0.13,0.5,29,1.2,33,0.417
3349,Brian Sharkey,11,15.4,65,0.6,10,4,42,4.6,28,2.7,70,1.1,61,0.5,64,3,89,6.8,0.441,0.8,43,1.5,42,0.533
3358,Malcolm Greene,22,23.3,90,1.9,62,8.6,94,10.5,88,3.2,79,1,53,0.7,74,2.4,82,6.8,0.353,3.6,95,5.9,95,0.61
3394,Robert Haas,32,18.8,79,2.9,86,8.2,91,11,91,2.1,53,0.8,38,1,86,1.6,66,3.3,0.485,1.9,76,3,74,0.633
3528,Drew Legare,6,19.3,81,4.2,97,10.5,98,14.7,99,3,75,1.7,88,1.2,93,0.2,21,1.8,0.111,3.5,94,6.2,97,0.565
3660,John McGlynn,6,21.7,87,2.7,82,7.3,85,10,85,1.8,43,1.2,69,0.8,79,1,51,4.3,0.233,2.8,88,3.7,83,0.757
3674,Brett Armstrong,159,21,86,1.9,62,5.4,65,7.3,65,3.8,88,1.7,88,0.5,64,2.5,83,6.4,0.391,1.6,66,2.6,66,0.615
3709,Frank Malsbenden,213,6,17,1.2,38,3.9,38,5.1,36,1.4,27,0.4,12,0.5,64,0.6,38,1.8,0.333,0.2,15,0.4,13,0.5
3722,Tim Davenport,9,16.1,69,4,97,6.7,81,10.7,89,3.2,79,2.6,98,1.1,89,0.9,47,2.9,0.31,2.8,88,5,92,0.56
3723,Chris Belletti,43,8.1,28,1,27,2.4,11,3.4,11,0.9,12,0.5,19,0.1,21,1.1,53,4,0.275,0.5,29,0.8,24,0.625
3725,Alex Lanfear,8,20.2,83,3.1,89,8,90,11.1,92,5,95,1.9,93,0.8,79,2.6,84,5.8,0.448,2.1,79,2.9,72,0.724
3769,Jim Bayley,6,30.8,98,2.7,82,7,83,9.7,83,2.2,55,1.7,88,0.2,34,3.2,91,9.3,0.344,6,100,8.8,100,0.682
3911,Lew Finnegan,11,24.2,92,1.5,49,8.5,93,9.9,84,5,95,1.5,84,0.5,64,4.1,96,8.5,0.482,1.4,61,2.5,65,0.56
3962,Matty Bells,36,4.1,10,0.6,10,2.1,7,2.7,6,2.4,61,1,53,0.1,21,0.1,15,1.1,0.091,0.3,18,0.6,18,0.5
